"data_20120103_100645_11976.h5", "Stochastic and plastic synapses. Full network with GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120103_101152_12049.h5", "Checking stimulus protocol. Small network with 20 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120105_170352_13923.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120105_191557_14312.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_113012_15400.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_115044_15546.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_115612_15634.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_120258_15729.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_121358_15908.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_152133_16125.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_152224_16193.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_154248_16324.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_154449_16389.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_161010_16556.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120106_215806_16975.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120107_151219_17946.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120107_152904_18175.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120107_154143_18272.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
"data_20120107_154340_18334.h5", "Checking stimulus protocol. Small network with 1 cells of each type and GABA conductance scaled to 1.25 times baseline. Running for 5 s with bias current injections at 0.0 s at various amplitudes. LFP recording for each celltype separately. prelease = 1.0 <- 0.8"
